"filename", "language", "JavaScript", "JavaScript JSX", "SCSS", "PostCSS", "comment", "blank", "total"
"u:\telegram-miniapp-game\src\App.scss", "SCSS", 0, 0, 239, 0, 30, 43, 312
"u:\telegram-miniapp-game\src\animations.js", "JavaScript", 19, 0, 0, 0, 1, 1, 21
"u:\telegram-miniapp-game\src\app.jsx", "JavaScript JSX", 0, 456, 0, 0, 10, 50, 516
"u:\telegram-miniapp-game\src\assets\styles\joystick.css", "PostCSS", 0, 0, 0, 15, 1, 5, 21
"u:\telegram-miniapp-game\src\components\BottomNav.jsx", "JavaScript JSX", 0, 38, 0, 0, 12, 5, 55
"u:\telegram-miniapp-game\src\components\BottomNav.scss", "SCSS", 0, 0, 159, 0, 26, 28, 213
"u:\telegram-miniapp-game\src\components\CharacterViewer.jsx", "JavaScript JSX", 0, 91, 0, 0, 26, 27, 144
"u:\telegram-miniapp-game\src\components\CompactRecipeCard.jsx", "JavaScript JSX", 0, 28, 0, 0, 4, 6, 38
"u:\telegram-miniapp-game\src\components\CraftingFocusView.jsx", "JavaScript JSX", 0, 107, 0, 0, 16, 16, 139
"u:\telegram-miniapp-game\src\components\GameHeader.jsx", "JavaScript JSX", 0, 95, 0, 0, 18, 12, 125
"u:\telegram-miniapp-game\src\components\GameHeader.scss", "SCSS", 0, 0, 190, 0, 23, 25, 238
"u:\telegram-miniapp-game\src\components\GlobalMap.jsx", "JavaScript JSX", 0, 149, 0, 0, 12, 24, 185
"u:\telegram-miniapp-game\src\components\GlobalMap.scss", "SCSS", 0, 0, 149, 0, 23, 20, 192
"u:\telegram-miniapp-game\src\components\InventoryTabs.jsx", "JavaScript JSX", 0, 35, 0, 0, 9, 4, 48
"u:\telegram-miniapp-game\src\components\Level.jsx", "JavaScript JSX", 0, 2546, 0, 0, 624, 451, 3621
"u:\telegram-miniapp-game\src\components\LoadingScreen.jsx", "JavaScript JSX", 0, 18, 0, 0, 0, 2, 20
"u:\telegram-miniapp-game\src\components\LoadingScreen.scss", "SCSS", 0, 0, 18, 0, 0, 2, 20
"u:\telegram-miniapp-game\src\components\PowerLevel.jsx", "JavaScript JSX", 0, 46, 0, 0, 21, 16, 83
"u:\telegram-miniapp-game\src\components\PowerLevel.scss", "SCSS", 0, 0, 34, 0, 0, 10, 44
"u:\telegram-miniapp-game\src\components\RaceModelViewer.jsx", "JavaScript JSX", 0, 54, 0, 0, 12, 7, 73
"u:\telegram-miniapp-game\src\components\RaceSelection.jsx", "JavaScript JSX", 0, 150, 0, 0, 22, 15, 187
"u:\telegram-miniapp-game\src\components\RaceSelection.scss", "SCSS", 0, 0, 200, 0, 23, 26, 249
"u:\telegram-miniapp-game\src\components\ResourceBar.jsx", "JavaScript JSX", 0, 21, 0, 0, 6, 4, 31
"u:\telegram-miniapp-game\src\components\Styles.scss", "SCSS", 0, 0, 736, 0, 83, 117, 936
"u:\telegram-miniapp-game\src\components\TransitionOverlay.jsx", "JavaScript JSX", 0, 95, 0, 0, 22, 8, 125
"u:\telegram-miniapp-game\src\components\TransitionOverlay.scss", "SCSS", 0, 0, 21, 0, 6, 2, 29
"u:\telegram-miniapp-game\src\components\TrophiesTab.jsx", "JavaScript JSX", 0, 602, 0, 0, 33, 65, 700
"u:\telegram-miniapp-game\src\components\TrophiesTab.scss", "SCSS", 0, 0, 536, 0, 16, 56, 608
"u:\telegram-miniapp-game\src\components\ZoneMap.jsx", "JavaScript JSX", 0, 412, 0, 0, 24, 59, 495
"u:\telegram-miniapp-game\src\components\ZoneMap.scss", "SCSS", 0, 0, 241, 0, 74, 41, 356
"u:\telegram-miniapp-game\src\components\popups\ArtifactPopup.jsx", "JavaScript JSX", 0, 368, 0, 0, 17, 45, 430
"u:\telegram-miniapp-game\src\components\popups\ArtifactPopup.scss", "SCSS", 0, 0, 406, 0, 37, 44, 487
"u:\telegram-miniapp-game\src\components\popups\ChestInfoPopup.jsx", "JavaScript JSX", 0, 178, 0, 0, 39, 29, 246
"u:\telegram-miniapp-game\src\components\popups\ChestInfoPopup.scss", "SCSS", 0, 0, 134, 0, 18, 19, 171
"u:\telegram-miniapp-game\src\components\popups\ChestResultsPopup.jsx", "JavaScript JSX", 0, 214, 0, 0, 31, 29, 274
